Id;Nome;R;Squadra;Qt.A;Stato
5512;De Luca;A;Cremonese;4;DISPONIBILE
6207;Almqvist;A;Parma;4;DISPONIBILE
6653;Bravo;A;Udinese;4;DISPONIBILE
7161;Bayo V.;A;Udinese;4;DISPONIBILE
5496;Johnsen;A;Cremonese;3;DISPONIBILE
1842;Pierini;A;Sassuolo;3;DISPONIBILE
7183;Aboukhlal;A;Torino;3;DISPONIBILE
7199;Kilicsoy;A;Cagliari;3;DISPONIBILE
5515;Okereke;A;Cremonese;2;DISPONIBILE
5471;Djuric;A;Parma;2;DISPONIBILE
7264;Ambrosino;A;Napoli;2;DISPONIBILE
6555;Moumbagna;A;Cremonese;2;DISPONIBILE
247;Pavoletti;A;Cagliari;1;DISPONIBILE
2012;Milik;A;Juventus;1;DISPONIBILE
7171;Buffon L.;A;Pisa;1;DISPONIBILE
7158;Moro L.;A;Sassuolo;1;DISPONIBILE
7159;Skjellerup;A;Sassuolo;1;DISPONIBILE
6827;Njie;A;Torino;1;DISPONIBILE
7213;Frigan;A;Parma;1;DISPONIBILE
7262;Balentien;A;Milan;1;DISPONIBILE
7272;Gueye;A;Udinese;1;DISPONIBILE
7277;Arena A.;A;Roma;1;DISPONIBILE
